Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,Mark(不要使用该列),欢迎词字数,sentiment,positive_prob,医生临床职称,医生教学科研职称
1,副主任医师 ,脑病外科,广州,1,0,"3,653",0,0,11,1,0,无,31,0,0,0.0315851,副主任医师,无
2,副主任医师 ,心血管科,上海,1,0,"18,014",0,2,1,1,1,无,40,0,0,0.0315851,副主任医师,无
3,住院医师 ,心脏外科中心,北京,1,205,"3,657",0,1,0,0,1,欢迎咨询全身心为患者服务！,44,13,2,0.961678,住院医师,无
4,主治医师 ,手外科,武汉,0,10,"1,671",0,2,2,0,0,无,70,0,0,0.0315851,主治医师,无
5,副主任医师 ,骨伤科,嘉兴,1,200,"9,492",0,0,5,0,0,无,91,0,0,0.0315851,副主任医师,无
6,住院医师 讲师 ,中医科,广州,1,0,"1,460",2,0,0,0,0,无,138,0,0,0.0315851,住院医师,讲师
7,主治医师 ,妇产科,中山,0,215,"11,550",0,3,0,0,0,无,142,0,0,0.0315851,主治医师,无
8,主治医师 讲师 ,心胸外科,郑州,1,0,"1,872",0,0,0,0,0,无,150,0,0,0.0315851,主治医师,讲师
9,主任医师 教授 ,大肠泌尿肿瘤外科,杭州,1,40,"25,614",1,7,13,2,1,无,163,0,0,0.0315851,主任医师,教授
10,主任医师 副教授 ,普外科,南京,1,0,"1,688",0,0,11,1,0,无,194,0,0,0.0315851,主任医师,副教授
11,副主任医师 ,肿瘤内科,郑州,1,390,"182,449",15,124,1,0,0,延长生命，提高生存质量通过最佳的治疗和预防，全面改善肿瘤患者生存！这是我们的责任和义务，但需要您的重视与关心！,219,55,1,0.454761,副主任医师,无
12,主治医师 ,肿瘤科,滨州,1,1735,"102,349",4,281,0,0,0,无,232,0,0,0.0315851,主治医师,无
13,主治医师 ,消化内科,宁波,0,0,"16,926",0,1,1,0,1,平安健康愿所有的人都能平安和健康！,234,17,2,0.99935,主治医师,无
14,副主任医师 ,眼科,佛山,1,75,"2,887",1,14,1,0,0,糖尿病病友您今年检查眼底了吗？糖尿病病友坚持眼睛要“年检”，也就是说每年检查一次眼底。,270,43,0,0.0149251,副主任医师,无
15,副主任医师 ,生殖医学中心,南宁,1,735,"59,873",9,47,1,0,4,你的信任是我真诚付出的动力，希望我能在你的人生征途中能稍稍帮上你的一个忙。,277,37,2,0.998463,副主任医师,无
16,主任医师 教授 ,泌尿外科,湛江,1,3505,"243,221",14,229,9,0,1,欢迎来电咨询或网上咨询泌尿疾病绝大部份可微创手术治疗或中药治疗的，希望我们的团队能帮助您战胜病魔，早日康复。请记住我们的团队名称:腔镜中心(微创泌尿外科专业）。如来门诊可周一全天，其他时间为每天早上九点前到病房。因病床安排需要，请外地需住院的病友来前一天来电预约...。展开>>收起<<,341,143,2,0.977299,主任医师,教授
17,副主任医师 副教授 ,皮肤性病科,北京,1,530,"134,015",3,108,6,1,1,无,380,0,0,0.0315851,副主任医师,副教授
18,主任医师 副教授 ,普外科,上海,1,0,"8,297",0,0,1,0,1,无,394,0,0,0.0315851,主任医师,副教授
19,副主任医师 ,肝胆胰外科,青岛,1,0,"8,615",0,1,5,0,0,无,418,0,0,0.0315851,副主任医师,无
20,副主任医师 ,肾脏病风湿免疫科,郑州,0,0,"8,886",1,1,2,0,0,无,452,0,0,0.0315851,副主任医师,无
21,主治医师 ,神经内科,上海,0,35,"5,315",0,6,7,1,0,无,508,0,0,0.0315851,主治医师,无
22,副主任医师 ,普通外科,北京,1,300,"42,872",2,23,0,0,0,欢迎您访问个人网站感谢您对访问个人网站，您的信任将使我们合作愉快，能够为您解决困难是我们最大的荣幸。我们的工作宗旨：严谨求实耐心认真,524,66,2,0.999446,副主任医师,无
23,住院医师 ,针推科（预防保健科）,潍坊,0,0,"1,764",0,0,0,0,0,无,545,0,0,0.0315851,住院医师,无
24,住院医师 ,消化内科,中山,1,550,"45,329",3,59,0,0,1,无,550,0,0,0.0315851,住院医师,无
25,副主任医师 ,心胸外科,广州,1,0,"16,092",0,0,1,0,0,无,551,0,0,0.0315851,副主任医师,无
26,主任医师 教授 ,胃肠外科,上海,1,955,"141,886",7,120,42,9,4,无,623,0,0,0.0315851,主任医师,教授
27,主治医师 ,神经内科,安庆,0,0,497,0,0,0,0,0,无,640,0,0,0.0315851,主治医师,无
28,副主任医师 副教授 ,心胸外科,徐州,1,0,"5,787",0,0,0,0,1,无,641,0,0,0.0315851,副主任医师,副教授
29,主治医师 ,妇女保健科,淄博,1,360,"389,587",12,63,1,0,2,无,669,0,0,0.0315851,主治医师,无
30,主治医师 ,血管外科,威海,1,235,"13,114",2,4,5,1,0,威海地区第一个独立的血管外科威海地区第一个将周围血管疾病专业独立的科室，第一个能行杂交手术的科室,678,48,2,0.989998,主治医师,无
31,主任医师 教授 ,血液内科,上海,1,1995,"104,774",5,196,4,2,1,难治性血液肿瘤的治疗血液肿瘤难治和复发是血液肿瘤病友获得长期生存乃至治愈的主要障碍。我科在我本人的带领下采用了一些新的治疗方法，使得许多难治、复发血液肿瘤患者获得较好的疗效。期盼我的新疗法为更多难治血液肿瘤病友造福。,686,108,2,0.998224,主任医师,教授
32,主任医师 ,骨科,上海,1,1636,"147,252",5,143,3,0,1,为您解忧我快乐手足是人类进步发展最重要的器官，人类所有的思想智慧都需要通过手足来实现。手足的伤病或许很难危及人的生命，但却对您的生活、工作及社会活动带来不便及困扰。我很荣耀选择了手足外科专业，并竭力在专业领域努力耕耘。希望我们的网上交流能带来您...和我都期望的帮助。展开>>收起<<,732,142,2,0.999953,主任医师,无
33,副主任医师 讲师 ,肿瘤科,开封,1,0,"8,341",0,0,0,0,0,无,798,0,0,0.0315851,副主任医师,讲师
34,副主任医师 副教授 ,消化内科,银川,1,0,"22,977",0,4,5,1,0,无,803,0,0,0.0315851,副主任医师,副教授
35,主治医师 ,儿童心理科,北京,0,0,781,0,0,0,0,0,无,833,0,0,0.0315851,主治医师,无
36,主治医师 ,肝胆胰外科,上海,0,200,"7,954",0,0,1,0,0,无,834,0,0,0.0315851,主治医师,无
37,副主任医师 ,肛肠科,吕梁,1,256,"25,443",2,4,1,0,0,大家好！欢迎咨询13037098111。医生以患者的康复为快乐，也祝大家健康快乐！乐意为您服务欢迎患者对我们的工作提出宝贵建议，我将会带领全科人员不断改进工作，以便更好的为患者服务。,854,91,2,0.992473,副主任医师,无
38,副主任医师 ,精神科,营口,1,0,708,0,0,1,0,0,无,859,0,0,0.0315851,副主任医师,无
39,主治医师 ,普通外科,宝鸡,0,1025,"122,679",20,55,3,1,2,欢迎您的浏览欢迎您浏览我的网站，如果有问题需要咨询，可拨打宝鸡中心医院普外科联系电话0917-3397465,861,54,2,0.969162,主治医师,无
40,副主任医师 ,口腔正畸科,青岛,1,0,"7,889",0,0,0,0,0,无,913,0,0,0.0315851,副主任医师,无
41,主治医师 ,内分泌科,天津,0,0,"1,621",0,0,0,0,0,无,977,0,0,0.0315851,主治医师,无
42,主治医师 ,普外科,北京,1,0,"16,985",0,1,2,0,1,无,1042,0,0,0.0315851,主治医师,无
43,主治医师 ,麻醉科,鹤岗,0,200,"8,194",0,0,0,0,0,无,1044,0,0,0.0315851,主治医师,无
44,副主任医师 副教授 ,肿瘤内科,上海,1,40,591,0,3,0,0,0,无,1095,0,0,0.0315851,副主任医师,副教授
45,住院医师 ,放射科,张家口,1,200,"7,205",0,0,0,0,0,无,1099,0,0,0.0315851,住院医师,无
46,住院医师 ,功能神经外科,北京,1,215,"8,853",1,4,3,1,0,4-11世界帕金森病日主题活动首都医科大学宣武医院功能神经外科2014“世界帕金森病日”主题系列活动活动一：宣武医院“帕金森病”义诊活动在4月11日“世界帕金森病日”到来之时，首都医科大学宣武医院将举办公益义诊活动，功能神经外科专家将为帕金森病患者或疑似帕金...森病患者做免费诊疗、解答咨询及帕金森病人日常生活中的护理指导等。活动时间：2014年4月12日上午8:00-12:00活动地点：宣武医院门诊三楼功能神经外科门诊咨询电话：010-83198882,1110,229,2,0.632204,住院医师,无
47,副主任医师 ,手外科,四平,0,230,"14,848",0,4,3,0,0,各位朋友好！欢迎光临我的网页，感谢好大夫在线搭建这个交流平台，有事您说话，我经常在线的，谢谢！,1115,47,2,0.999209,副主任医师,无
48,主任医师 教授 ,皮肤科,济南,1,310,"46,685",4,11,6,1,1,修合无人见，存心有天知,1128,11,0,0.0123773,主任医师,教授
49,副主任医师 ,皮肤科,济南,1,15040,"812,714",14,1906,5,3,3,解恒珍的个人网站开通了，欢迎前来咨询，谢谢！,1161,22,2,0.9982,副主任医师,无
50,副主任医师 ,急诊科,保定,1,0,"21,037",3,0,0,0,1,无,1180,0,0,0.0315851,副主任医师,无
51,主治医师 ,针灸康复科,杭州,1,980,"56,189",3,41,1,0,0,无,1196,0,0,0.0315851,主治医师,无
52,主任医师 教授 ,超声诊断科,成都,1,0,"7,444",0,0,0,0,1,无,1207,0,0,0.0315851,主任医师,教授
53,主任医师 教授 ,普外科,重庆,1,210,"8,586",0,1,0,0,0,无,1279,0,0,0.0315851,主任医师,教授
54,副主任医师 副教授 ,消化内科,重庆,1,275,"60,333",0,22,2,0,0,无,1288,0,0,0.0315851,副主任医师,副教授
55,副主任医师 ,脑病科,潍坊,1,690,"60,375",7,44,1,0,1,无,1294,0,0,0.0315851,副主任医师,无
56,主治医师 ,骨伤科,长沙,0,0,"1,597",0,0,1,0,0,无,1329,0,0,0.0315851,主治医师,无
57,主治医师 ,肿瘤科,上海,0,0,"1,101",0,0,1,0,0,无,1347,0,0,0.0315851,主治医师,无
58,主任医师 ,肾内科,徐州,1,0,"7,254",0,0,1,0,0,无,1497,0,0,0.0315851,主任医师,无
59,副主任医师 副教授 ,骨科,聊城,1,0,"7,186",0,0,3,0,0,无,1657,0,0,0.0315851,副主任医师,副教授
60,副主任医师 ,胸外科,石家庄,1,0,"12,521",1,0,1,0,1,欢迎大家咨询健康从我开始,1681,12,2,0.994126,副主任医师,无
61,副主任医师 ,肝胆胰外科,上海,1,200,"9,488",0,2,6,3,0,无,1734,0,0,0.0315851,副主任医师,无
62,住院医师 ,消化外科,呼和浩特,1,25,"4,256",0,5,0,0,0,无,1757,0,0,0.0315851,住院医师,无
63,副主任医师 ,肛肠科,沈阳,1,0,"6,762",0,0,4,1,0,无,1847,0,0,0.0315851,副主任医师,无
64,住院医师 ,妇产科,福州,1,200,"1,714",0,0,0,0,0,无,1854,0,0,0.0315851,住院医师,无
65,主任医师 ,血液内科,杭州,1,370,"26,877",0,15,3,0,1,无,1866,0,0,0.0315851,主任医师,无
66,副主任医师 ,耳鼻咽喉科,广州,1,200,"7,585",0,0,3,0,0,无,1869,0,0,0.0315851,副主任医师,无
67,主治医师 讲师 ,针灸科,广州,1,220,"13,436",0,3,4,1,1,无,1936,0,0,0.0315851,主治医师,讲师
68,副主任医师 副教授 ,结直肠外科,哈尔滨,1,240,"20,035",0,7,1,0,1,欢迎进入赵医生的患者之家！在当前看病难、看病贵的环境下，希望用我的努力为您创造良好的就医环境，为您的健康保驾护航！,2010,57,2,0.909224,副主任医师,副教授
69,住院医师 ,心血管外科,哈尔滨,0,0,"6,545",0,0,1,0,0,无,2045,0,0,0.0315851,住院医师,无
70,副主任医师 副教授 ,眼科,大同,1,505,"52,101",1,30,0,0,2,眼病患者的良师益友,2047,9,2,0.946946,副主任医师,副教授
71,主任医师 副教授 ,介入治疗科,东莞,1,0,"17,914",2,1,1,0,0,无,2070,0,0,0.0315851,主任医师,副教授
72,主任医师 ,整形美容科,郑州,1,185,"44,550",0,34,0,0,0,一直关注您的整形科医生欢迎您的造访五年的医学院校殿堂，20余年的无影灯下的磨练，结下了深厚的爱美情缘；愿与追求自我形象完美，自认其貌不扬或外伤、先天性畸形所致外观及功能障碍的您结为朋友，更愿与您共同设计第二个您，完成您心中的梦想！,2079,115,2,0.999917,主任医师,无
73,副主任医师 副教授 ,心内科,上海,1,425,"15,090",1,31,3,1,3,真心对待患者把患者当作衣食父母，认真对待每位患者的需求，不计名利，不分贵贱。,2141,38,2,0.812993,副主任医师,副教授
